HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 37173|07 38 18.05|-25 21 53.2| 4.69|114.57519746|-25.36478805
 37174|07 38 18.21|-48 36 05.2| 5.68|114.57588221|-48.60144811
 37204|07 38 32.84|+35 02 54.5| 5.58|114.63681646|+35.04848403
 37223|07 38 43.90|-36 29 48.6| 5.78|114.68293452|-36.49684165
 37229|07 38 49.88|-26 48 14.0| 3.80|114.70783872|-26.80389240
 37265|07 39 09.96|+34 35 04.7| 4.89|114.79148501|+34.58463287
 37279|07 39 18.54|+05 13 39.0| 0.40|114.82724194|+05.22750767
 37297|07 39 27.35|-38 18 29.0| 4.84|114.86397492|-38.30806020
 37300|07 39 28.59|+17 40 28.3| 5.04|114.86912974|+17.67451551
 37322|07 39 43.83|-38 08 21.6| 5.73|114.93262285|-38.13932810
 37329|07 39 47.88|-38 15 38.4| 5.76|114.94951052|-38.26067563
 37345|07 39 57.99|-37 34 45.9| 5.99|114.99163231|-37.57941274
 37364|07 40 13.53|-19 39 39.2| 5.92|115.05638028|-19.66089028
 37369|07 40 14.72|+38 20 40.4| 5.77|115.06134304|+38.34456671
 37379|07 40 23.21|-15 15 49.9| 4.98|115.09671685|-15.26385208
 37391|07 40 31.09|+87 01 12.6| 5.05|115.12954787|+87.02015634
 37428|07 40 58.52|+23 01 06.8| 5.93|115.24384521|+23.01855829
 37441|07 41 12.45|+48 07 54.7| 5.58|115.30185616|+48.13185153
 37447|07 41 14.88|-09 33 03.9| 3.94|115.31198612|-09.55108315
 37450|07 41 15.83|-38 32 00.9| 5.41|115.31595047|-38.53357185
 37478|07 41 35.16|+03 37 29.4| 5.95|115.39648613|+03.62482750
 37504|07 41 49.20|-72 36 22.1| 3.93|115.45498347|-72.60613528
 37508|07 41 51.87|+13 28 49.8| 5.79|115.46611813|+13.48051383
 37521|07 42 03.22|+14 12 30.7| 5.55|115.51341314|+14.20852972
 37590|07 42 48.15|-26 21 04.5| 5.64|115.70064325|-26.35125398
 37606|07 42 57.16|-45 10 18.4| 5.04|115.73817103|-45.17177284
 37609|07 43 00.46|+58 42 37.8| 4.93|115.75190700|+58.71048707
 37623|07 43 12.00|-36 03 00.4| 5.60|115.79999230|-36.05012400
